"","gene","length"
"4978","TLL1",3239
"4979","SPOCK3",1431
"4980","ANXA10",1030
"4981","DDX60",5331
"4982","DDX60L",5319
"4983","PALLD",4148
"4984","CBR4",736
"4985","SH3RF1",2717
"4986","NEK1",4056
"4987","CLCN3",2743
"4988","HPF1",1076
"4989","MFAP3L",1243
"4990","AADAT",1350
"4991","GALNTL6",1996
"4992","GALNT7",2219
"4993","HMGB2",645
"4994","SAP30",678
"4995","SCRG1",302
"4996","HAND2",659
"4997","FBXO8",980
"4998","CEP44",1334
"4999","HPGD",943
"5000","GLRA3",1440
"5001","ADAM29",2463
"5002","GPM6A",893
"5003","WDR17",4114
"5004","SPATA4",943
"5005","ASB5",1124
"5006","SPCS3",563
"5007","VEGFC",1290
"5008","NEIL3",1863
"5009","AGA",1081
"5010","TENM3",8230
"5011","DCTD",595
"5012","WWC2",3827
"5013","CLDN22",663
"5014","CLDN24",663
"5015","CDKN2AIP",1755
"5016","ING2",848
"5017","RWDD4",602
"5018","TRAPPC11",3565
"5019","STOX2",3163
"5020","ENPP6",1358
"5021","IRF2",1195
"5022","CASP3",859
"5023","PRIMPOL",1738
"5024","CENPU",1317
"5025","ACSL1",2337
"5026","HELT",999
"5027","SLC25A4",912
"5028","CFAP97",1658
"5029","SNX25",3105
"5030","LRP2BP",1105
"5031","ANKRD37",492
"5032","UFSP2",1465
"5033","CFAP96",960
"5034","CCDC110",2584
"5035","PDLIM3",1323
"5036","SORBS2",5197
"5037","TLR3",2730
"5038","FAM149A",2387
"5039","CYP4V2",1628
"5040","KLKB1",1982
"5041","F11",1945
"5042","MTNR1A",1058
"5043","FAT1",14044
"5044","ZFP42",933
"5045","TRIML2",1344
"5046","TRIML1",1432
"5047","FRG1",817
"5048","FRG2",855
"5049","DUX4",1283
"5050","PLEKHG4B",4979
"5051","LRRC14B",1550
"5052","CCDC127",788
"5053","SDHA",2065
"5054","PDCD6",608
"5055","AHRR",2341
"5056","EXOC3",2293
"5057","SLC9A3",3000
"5058","CEP72",1999
"5059","TPPP",670
"5060","ZDHHC11B",1161
"5061","ZDHHC11",1575
"5062","BRD9",1869
"5063","TRIP13",1359
"5064","NKD2",1552
"5065","SLC12A7",3367
"5066","SLC6A19",1960
"5067","SLC6A18",1942
"5068","TERT",3474
"5069","CLPTM1L",1697
"5070","SLC6A3",1928
"5071","LPCAT1",1670
"5072","MRPL36",312
"5073","NDUFS6",597
"5074","IRX4",1663
"5075","IRX2",1431
"5076","IRX1",1458
"5077","ADAMTS16",3794
"5078","ICE1",6891
"5079","MED10",423
"5080","UBE2QL1",491
"5081","NSUN2",2394
"5082","SRD5A1",800
"5083","TENT4A",2439
"5084","ADCY2",3396
"5085","CFAP90",454
"5086","FASTKD3",2014
"5087","MTRR",2248
"5088","SEMA5A",3325
"5089","TAS2R1",900
"5090","ATPSCKMT",722
"5091","CCT5",1721
"5092","CMBL",758
"5093","MARCHF6",2922
"5094","ROPN1L",713
"5095","ANKRD33B",1500
"5096","DAP",673
"5097","CTNND2",3863
"5098","DNAH5",14280
"5099","TRIO",9706
"5100","OTULINL",1106
"5101","OTULIN",1089
"5102","ANKH",1534
"5103","FBXL7",1491
"5104","MARCHF11",1224
"5105","ZNF622",1459
"5106","RETREG1",1858
"5107","MYO10",6435
"5108","BASP1",684
"5109","LINC02218",597
"5110","H3Y2",444
"5111","TAF11L2",597
"5112","TAF11L3",597
"5113","TAF11L4",597
"5114","TAF11L5",597
"5115","TAF11L6",597
"5116","TAF11L7",597
"5117","TAF11L8",597
"5118","TAF11L9",597
"5119","TAF11L10",597
"5120","TAF11L11",597
"5121","TAF11L12",594
"5122","TAF11L13",597
"5123","TAF11L14",594
"5124","H3Y1",411
"5125","CDH18",2563
"5126","CDH12",2435
"5127","PRDM9",2730
"5128","CDH10",2417
"5129","CDH9",2420
"5130","CDH6",2530
"5131","DROSHA",4285
"5132","C5orf22",1369
"5133","PDZD2",8635
"5134","GOLPH3",912
"5135","MTMR12",2319
"5136","ZFR",3320
"5137","SUB1",399
"5138","NPR3",1785
"5139","TARS1",2431
"5140","ADAMTS12",4962
"5141","RXFP3",1410
"5142","SLC45A2",1635
"5143","AMACR",1225
"5144","ENSG00000289791",1027
"5145","C1QTNF3",985
"5146","RAI14",3086
"5147","TTC23L",1442
"5148","RAD1",869
"5149","BRIX1",1107
"5150","DNAJC21",1875
"5151","AGXT2",1610
"5152","PRLR",2028
"5153","SPEF2",7852
"5154","IL7R",1488
"5155","CAPSL",657
"5156","UGT3A1",1695
"5157","UGT3A2",1602
"5158","LMBRD2",2168
"5159","SKP2",1685
"5160","NADK2",1455
"5161","RANBP3L",1603
"5162","SLC1A3",1829
"5163","NIPBL",8683
"5164","CPLANE1",10011
"5165","NUP155",4346
"5166","WDR70",2124
"5167","GDNF",697
"5168","EGFLAM",3177
"5169","LIFR",3384
"5170","OSMR",3055
"5171","RICTOR",5389
"5172","FYB1",2610
"5173","C9",1738
"5174","DAB2",2373
"5175","TTC33",1175
"5176","PTGER4",1472
"5177","PRKAA1",1827
"5178","RPL37",347
"5179","CARD6",3218
"5180","C7",2736
"5181","MROH2B",4963
"5182","C6",2885
"5183","PLCXD3",976
"5184","OXCT1",1652
"5185","RIMOC1",910
"5186","FBXO4",1217
"5187","GHR",1983
"5188","CCDC152",800
"5189","ANXA2R",582
"5190","ZNF131",1934
"5191","NIM1K",1321
"5192","HMGCS1",1603
"5193","CCL28",394
"5194","TMEM267",662
"5195","C5orf34",1972
"5196","PAIP1",1490
"5197","NNT",3514
"5198","FGF10",637
"5199","MRPS30",1340
"5200","HCN1",2787
"5201","EMB",1024
"5202","PARP8",2989
"5203","ISL1",1075
"5204","ITGA1",3680
"5205","PELO",1163
"5206","ITGA2",3691
"5207","MOCS2",790
"5208","FST",1060
"5209","NDUFS4",548
"5210","ARL15",652
"5211","HSPB3",453
"5212","SNX18",2143
"5213","ESM1",565
"5214","GZMK",815
"5215","GZMA",809
"5216","CDC20B",1615
"5217","GPX8",640
"5218","MCIDAS",1188
"5219","CCNO",1063
"5220","DHX29",4240
"5221","MTREX",3259
"5222","PLPP1",1040
"5223","SLC38A9",1786
"5224","DDX4",2315
"5225","IL31RA",2658
"5226","IL6ST",2827
"5227","ANKRD55",1904
"5228","MAP3K1",4634
"5229","SETD9",931
"5230","MIER3",1728
"5231","GPBP1",1558
"5232","ACTBL2",1131
"5233","PLK2",2123
"5234","GAPT",474
"5235","RAB3C",704
"5236","PDE4D",3531
"5237","DEPDC1B",1640
"5238","ELOVL7",904
"5239","ERCC8",1385
"5240","NDUFAF2",849
"5241","SMIM15",225
"5242","ZSWIM6",3713
"5243","KIF2A",2425
"5244","DIMT1",1035
"5245","IPO11",3193
"5246","LRRC70",1869
"5247","HTR1A",1269
"5248","RNF180",1830
"5249","RGS7BP",799
"5250","SHISAL2B",493
"5251","SREK1IP1",488
"5252","CWC27",2203
"5253","ADAMTS6",3469
"5254","CENPK",932
"5255","PPWD1",2033
"5256","TRIM23",1841
"5257","TRAPPC13",1317
"5258","SHLD3",753
"5259","SGTB",960
"5260","NLN",2175
"5261","ERBIN",4503
"5262","SREK1",1940
"5263","MAST4",8411
"5264","CD180",1996
"5265","PIK3R1",2407
"5266","SLC30A5",2459
"5267","CCNB1",1342
"5268","CENPH",784
"5269","MRPS36",327
"5270","CDK7",1149
"5271","CCDC125",1586
"5272","AK6",563
"5273","TAF9",795
"5274","RAD17",2133
"5275","MARVELD2",1702
"5276","OCLN",1687
"5277","GTF2H2C",1283
"5278","SERF1B",554
"5279","SMN2",990
"5280","SERF1A",554
"5281","SMN1",990
"5282","NAIP",4467
"5283","GTF2H2",1258
"5284","BDP1",8065
"5285","MCCC2",1992
"5286","CARTPT",361
"5287","MAP1B",7437
"5288","MRPS27",1723
"5289","PTCD2",1212
"5290","ZNF366",2250
"5291","TNPO1",2838
"5292","FCHO2",2783
"5293","TMEM171",985
"5294","TMEM174",737
"5295","FOXD1",1398
"5296","BTF3",672
"5297","ANKRA2",977
"5298","UTP15",1612
"5299","ARHGEF28",5464
"5300","ENC1",1770
"5301","HEXB",1736
"5302","GFM2",2464
"5303","NSA2",808
"5304","FAM169A",2068
"5305","GCNT4",1362
"5306","ANKRD31",5918
"5307","HMGCR",2757
"5308","CERT1",2586
"5309","POLK",2738
"5310","ANKDD1B",1829
"5311","POC5",1790
"5312","SV2C",2272
"5313","IQGAP2",5037
"5314","F2RL2",1130
"5315","F2R",1506
"5316","F2RL1",1199
"5317","S100Z",305
"5318","CRHBP",1020
"5319","AGGF1",2222
"5320","ZBED3",705
"5321","PDE8B",2763
"5322","WDR41",1440
"5323","OTP",988
"5324","TBCA",669
"5325","AP3B1",3535
"5326","SCAMP1",1057
"5327","LHFPL2",692
"5328","ARSB",1720
"5329","DMGDH",2676
"5330","BHMT2",1127
"5331","BHMT",1256
"5332","JMY",3012
"5333","HOMER1",1105
"5334","TENT2",1520
"5335","CMYA5",12270
"5336","MTX3",979
"5337","THBS4",2991
"5338","SERINC5",1468
"5339","SPZ1",1293
"5340","ZFYVE16",4700
"5341","FAM151B",856
"5342","ANKRD34B",1545
"5343","DHFR",589
"5344","MSH3",3601
"5345","RASGRF2",4151
"5346","CKMT2",1300
"5347","ZCCHC9",836
"5348","ACOT12",1743
"5349","SSBP2",1190
"5350","ATG10",854
"5351","RPS23",577
"5352","TMEM167A",234
"5353","XRCC4",1041
"5354","VCAN",10276
"5355","HAPLN1",1091
"5356","EDIL3",1493
"5357","COX7C",205
"5358","RASA1",3360
"5359","CCNH",1066
"5360","TMEM161B",1733
"5361","MEF2C",1610
"5362","CETN3",674
"5363","MBLAC2",988
"5364","POLR3G",760
"5365","LYSMD3",933
"5366","ADGRV1",19366
"5367","ARRDC3",1280
"5368","NR2F1",1298
"5369","FAM172A",1296
"5370","POU5F2",987
"5371","KIAA0825",3939
"5372","SLF1",3272
"5373","MCTP1",3202
"5374","FAM81B",1404
"5375","SKIC3",4937
"5376","ARSK",1663
"5377","GPR150",1305
"5378","RFESD",653
"5379","SPATA9",785
"5380","RHOBTB3",2032
"5381","GLRX",326
"5382","ELL2",1978
"5383","PCSK1",2369
"5384","CAST",2682
"5385","ERAP1",2942
"5386","ERAP2",3048
"5387","LNPEP",3163
"5388","LIX1",874
"5389","RIOK2",1729
"5390","RGMB",1452
"5391","CHD1",5572
"5392","FAM174A",583
"5393","ST8SIA4",1102
"5394","SLCO4C1",2235
"5395","SLCO6A1",2220
"5396","PAM",3045
"5397","GIN1",1599
"5398","PPIP5K2",3992
"5399","MACIR",621
"5400","NUDT12",1414
"5401","EFNA5",707
"5402","FBXL17",2146
"5403","FER",2686
"5404","PJA2",2167
"5405","MAN2A1",3540
"5406","TMEM232",2034
"5407","SLC25A46",1292
"5408","TSLP",532
"5409","WDR36",2798
"5410","CAMK4",1472
"5411","STARD4",718
"5412","NREP",424
"5413","EPB41L4A",2171
"5414","APC",8829
"5415","SRP19",552
"5416","REEP5",590
"5417","DCP2",1313
"5418","MCC",3270
"5419","TSSK1B",1104
"5420","YTHDC2",4435
"5421","KCNN2",2614
"5422","TRIM36",2509
"5423","PGGT1B",1174
"5424","CCDC112",1635
"5425","FEM1C",1859
"5426","TMED7-TICAM2",1230
"5427","TICAM2",708
"5428","TMED7",685
"5429","CDO1",623
"5430","ATG12",438
"5431","AP3S1",607
"5432","LVRN",3068
"5433","ARL14EPL",469
"5434","COMMD10",639
"5435","SEMA6A",3276
"5436","DTWD2",945
"5437","DMXL1",9362
"5438","TNFAIP8",807
"5439","HSD17B4",2484
"5440","FAM170A",1090
"5441","PRR16",1013
"5442","FTMT",729
"5443","SRFBP1",1325
"5444","LOX",1284
"5445","ZNF474",1744
"5446","ENSG00000250803",342
"5447","SNCAIP",3106
"5448","SNX2",1630
"5449","SNX24",679
"5450","PPIC",659
"5451","PRDM6",1818
"5452","CEP120",3112
"5453","CSNK1G3",1431
"5454","ZNF608",4579
"5455","GRAMD2B",1579
"5456","ALDH7A1",1771
"5457","PHAX",1205
"5458","SPMIP10",415
"5459","LMNB1",1813
"5460","MARCHF3",798
"5461","C5orf63",713
"5462","MEGF10",3551
"5463","PRRC1",1590
"5464","CTXN3",246
"5465","CCDC192",909
"5466","SLC12A2",3789
"5467","FBN2",9170
"5468","SLC27A6",1905
"5469","ISOC1",917
"5470","ADAMTS19",3752
"5471","MINAR2",583
"5472","CHSY3",2659
"5473","HINT1",658
"5474","LYRM7",335
"5475","CDC42SE2",265
"5476","RAPGEF6",5522
"5477","ENSG00000273217",5096
"5478","FNIP1",3591
"5479","MEIKIN",1182
"5480","ACSL6",2502
"5481","IL3",479
"5482","CSF2",450
"5483","P4HA2",1738
"5484","PDLIM4",1023
"5485","SLC22A4",1701
"5486","SLC22A5",1850
"5487","IRF1",1018
"5488","IL5",420
"5489","RAD50",4059
"5490","ENSG00000283782",3752
"5491","IL13",456
"5492","IL4",583
"5493","KIF3A",2275
"5494","CCNI2",1183
"5495","SEPTIN8",1693
"5496","SOWAHA",1650
"5497","SHROOM1",2589
"5498","GDF9",1370
"5499","UQCRQ",254
"5500","LEAP2",244
"5501","AFF4",3650
"5502","ZCCHC10",741
"5503","HSPA4",2613
"5504","FSTL4",2599
"5505","C5orf15",808
"5506","VDAC1",887
"5507","TCF7",1682
"5508","SKP1",569
"5509","ENSG00000272772",619
"5510","PPP2CA",984
"5511","CDKL3",1892
"5512","UBE2B",484
"5513","CDKN2AIPNL",382
"5514","JADE2",2737
"5515","SAR1B",622
"5516","SEC24A",3457
"5517","CAMLG",907
"5518","DDX46",3228
"5519","C5orf24",610
"5520","TXNDC15",1103
"5521","PCBD2",408
"5522","CATSPER3",1232
"5523","PITX1",955
"5524","MACROH2A1",1264
"5525","DCANP1",735
"5526","TIFAB",486
"5527","NEUROG1",714
"5528","CXCL14",351
"5529","SLC25A48",1493
"5530","IL9",455
"5531","LECT2",624
"5532","TGFBI",2132
"5533","SMAD5",1423
"5534","SMIM32",312
"5535","TRPC7",2644
"5536","SPOCK1",1365
"5537","KLHL3",1834
"5538","HNRNPA0",918
"5539","MYOT",1537
"5540","PKD2L2",2000
"5541","FAM13B",2919
"5542","WNT8A",1168
"5543","NME5",659
"5544","BRD8",4124
"5545","KIF20A",2758
"5546","CDC23",1950
"5547","GFRA3",1238
"5548","CDC25C",1482
"5549","FAM53C",1194
"5550","KDM3B",5401
"5551","REEP2",800
"5552","EGR1",1637
"5553","ETF1",1406
"5554","HSPA9",2153
"5555","CTNNA1",2877
"5556","LRRTM2",1556
"5557","SIL1",1455
"5558","MATR3",2804
"5559","PAIP2",394
"5560","SLC23A1",1874
"5561","MZB1",585
"5562","PROB1",3048
"5563","SPATA24",822
"5564","DNAJC18",1112
"5565","ECSCR",663
"5566","SMIM33",404
"5567","STING1",1165
"5568","UBE2D2",474
"5569","CXXC5",974
"5570","PSD2",2381
"5571","NRG2",2785
"5572","PURA",969
"5573","IGIP",162
"5574","CYSTM1",408
"5575","PFDN1",460
"5576","HBEGF",647
"5577","SLC4A9",3052
"5578","ANKHD1",7898
"5579","ANKHD1-EIF4EBP3",8029
"5580","EIF4EBP3",313
"5581","SRA1",695
"5582","APBB3",1542
"5583","SLC35A4",1297
"5584","CD14",1133
"5585","TMCO6",1555
"5586","NDUFA2",335
"5587","IK",1769
"5588","WDR55",1182
"5589","DND1",1077
"5590","HARS1",1665
"5591","HARS2",1604
"5592","ZMAT2",625
"5593","PCDHA1",2895
"5594","PCDHA2",2987
"5595","PCDHA3",2946
"5596","PCDHA4",2979
"5597","PCDHA5",2995
"5598","PCDHA6",2883
"5599","PCDHA7",2841
"5600","PCDHA8",2916
"5601","PCDHA9",3000
"5602","PCDHA10",3006
"5603","PCDHA11",2904
"5604","PCDHA12",2850
"5605","PCDHA13",2968
"5606","PCDHAC1",2928
"5607","PCDHAC2",3126
"5608","PCDHB1",2457
"5609","PCDHB2",2397
"5610","PCDHB3",2391
"5611","PCDHB4",2388
"5612","PCDHB5",2388
"5613","PCDHB6",2385
"5614","PCDHB7",2382
"5615","PCDHB8",2406
"5616","PCDHB16",2331
"5617","PCDHB9",2394
"5618","PCDHB10",2403
"5619","PCDHB11",2394
"5620","PCDHB12",2388
"5621","PCDHB13",2397
"5622","ENSG00000279983",113
"5623","PCDHB14",2397
"5624","PCDHB15",2364
"5625","SLC25A2",906
"5626","TAF7",1050
"5627","PCDHGA1",2859
"5628","PCDHGA2",2859
"5629","PCDHGA3",2877
"5630","PCDHGB1",2820
"5631","PCDHGA4",2943
"5632","PCDHGB2",2823
"5633","PCDHGA5",2829
"5634","PCDHGB3",2832
"5635","PCDHGA6",2844
"5636","PCDHGA7",2841
"5637","PCDHGB4",2799
"5638","PCDHGA8",2850
"5639","PCDHGB5",2844
"5640","PCDHGA9",2874
"5641","PCDHGB6",2850
"5642","PCDHGA10",2940
"5643","PCDHGB7",2814
"5644","PCDHGA11",2901
"5645","PCDHGA12",2850
"5646","PCDHGC3",2979
"5647","PCDHGC4",3003
"5648","PCDHGC5",3024
"5649","DIAPH1",4012
"5650","HDAC3",1357
"5651","RELL2",957
"5652","FCHSD1",2304
"5653","ARAP3",4790
"5654","PCDH1",3843
"5655","DELE1",1603
"5656","PCDH12",3570
"5657","RNF14",1455
"5658","GNPDA1",953
"5659","NDFIP1",696
"5660","SPRY4",974
"5661","FGF1",478
"5662","ARHGAP26",2843
"5663","NR3C1",2422
"5664","HMHB1",131
"5665","YIPF5",794
"5666","KCTD16",1292
"5667","PRELID2",618
"5668","GRXCR2",757
"5669","SH3RF2",2230
"5670","PLAC8L1",549
"5671","LARS1",3686
"5672","RBM27",3283
"5673","ENSG00000275740",3179
"5674","POU4F3",1022
"5675","TCERG1",3458
"5676","GPR151",1260
"5677","PPP2R2B",1716
"5678","STK32A",1341
"5679","DPYSL3",2162
"5680","JAKMIP2",2587
"5681","SPINK1",257
"5682","SCGB3A2",292
"5683","C5orf46",276
"5684","SPINK5",3459
"5685","SPINK14",309
"5686","SPINK6",258
"5687","MARCOL",870
"5688","SPINK13",300
"5689","SPINK7",280
"5690","SPINK9",397
"5691","FBXO38",3667
"5692","HTR4",1914
"5693","ADRB2",1242
"5694","SH3TC2",3947
"5695","ABLIM3",2194
"5696","AFAP1L1",2397
"5697","GRPEL2",764
"5698","PCYOX1L",1510
"5699","IL17B",553
"5700","CSNK1A1",1288
"5701","ARHGEF37",2083
"5702","PPARGC1B",3213
"5703","PDE6A",2688
"5704","SLC26A2",2225
"5705","TIGD6",1566
"5706","HMGXB3",4717
"5707","CSF1R",3019
"5708","PDGFRB",3426
"5709","CDX1",808
"5710","SLC6A7",2155
"5711","CAMK2A",1941
"5712","ARSI",1715
"5713","TCOF1",4731
"5714","CD74",931
"5715","RPS14",471
"5716","NDST1",2714
"5717","SYNPO",3481
"5718","MYOZ3",1056
"5719","RBM22",1313
"5720","DCTN4",1511
"5721","SMIM3",183
"5722","IRGM",546
"5723","ZNF300",1835
"5724","TNIP1",2079
"5725","ANXA6",2142
"5726","CCDC69",931
"5727","GM2A",597
"5728","SLC36A3",1586
"5729","SLC36A2",1502
"5730","SLC36A1",1492
"5731","FAT2",13160
"5732","SPARC",952
"5733","ATOX1",241
"5734","G3BP1",1811
"5735","GLRA1",1414
"5736","NMUR2",1263
"5737","GRIA1",3068
"5738","FAM114A2",1578
"5739","MFAP3",1094
"5740","GALNT10",1909
"5741","SAP30L",567
"5742","HAND1",653
"5743","LARP1",3589
"5744","FAXDC2",1104
"5745","CNOT8",904
"5746","GEMIN5",4662
"5747","MRPL22",742
"5748","KIF4B",3705
"5749","SGCD",977
"5750","PPP1R2B",618
"5751","TIMD4",1177
"5752","HAVCR1",1275
"5753","HAVCR2",936
"5754","MED7",702
"5755","GARIN3",1823
"5756","ITK",1943
"5757","CYFIP2",4058
"5758","FNDC9",675
"5759","ENSG00000285868",675
"5760","NIPAL4",1240
"5761","ADAM19",3029
"5762","SOX30",2337
"5763","C5orf52",490
"5764","THG1L",922
"5765","LSM11",1098
"5766","CLINT1",1987
"5767","EBF1",1851
"5768","RNF145",2201
"5769","UBLCP1",1002
"5770","IL12B",1012
"5771","ADRA1B",1568
"5772","TTC1",909
"5773","PWWP2A",2414
"5774","FABP6",559
"5775","CCNJL",1351
"5776","C1QTNF2",1003
"5777","FAM200C",1785
"5778","SLU7",1831
"5779","PTTG1",629
"5780","ATP10B",4880
"5781","GABRB2",1584
"5782","GABRA6",1402
"5783","GABRA1",1461
"5784","GABRG2",1769
"5785","CCNG1",940
"5786","NUDCD2",489
"5787","HMMR",2263
"5788","MAT2B",1146
"5789","TENM2",8607
"5790","WWC1",3470
"5791","RARS1",2176
"5792","FBLL1",1005
"5793","PANK3",1143
"5794","SLIT3",4768
"5795","SPDL1",1894
"5796","DOCK2",5825
"5797","INSYN2B",1618
"5798","FOXI1",1142
"5799","C5orf58",506
"5800","LCP2",1706
"5801","KCNIP1",1002
"5802","KCNMB1",670
"5803","GABRP",1395
"5804","RANBP17",3402
"5805","TLX3",886
"5806","NPM1",1076
"5807","FGF18",644
"5808","SMIM23",534
"5809","FBXW11",1752
"5810","STK10",2997
"5811","EFCAB9",609
"5812","UBTD2",715
"5813","SH3PXD2B",2903
"5814","NEURL1B",1688
"5815","DUSP1",1119
"5816","ERGIC1",1155
"5817","RPL26L1",448
"5818","ATP6V0E1",283
"5819","CREBRF",1984
"5820","BNIP1",846
"5821","NKX2-5",1111
"5822","STC2",924
"5823","BOD1",598
"5824","CPEB4",2265
"5825","C5orf47",546
"5826","NSG2",620
"5827","MSX2",832
"5828","DRD1",1341
"5829","SFXN1",1035
"5830","HRH2",1394
"5831","CPLX2",423
"5832","THOC3",1247
"5833","SIMC1",2859
"5834","KIAA1191",948
"5835","ARL10",750
"5836","NOP16",864
"5837","HIGD2A",326
"5838","CLTB",715
"5839","FAF2",1388
"5840","RNF44",1344
"5841","CDHR2",4083
"5842","GPRIN1",3027
"5843","SNCB",425
"5844","EIF4E1B",759
"5845","TSPAN17",1114
"5846","UNC5A",2772
"5847","HK3",2857
"5848","UIMC1",2225
"5849","ZNF346",1043
"5850","FGFR4",2558
"5851","NSD1",8282
"5852","RAB24",675
"5853","PRELID1",680
"5854","MXD3",1187
"5855","LMAN2",1170
"5856","RGS14",1771
"5857","SLC34A1",2064
"5858","PFN3",414
"5859","F12",1913
"5860","GRK6",1874
"5861","PRR7",830
"5862","DBN1",2454
"5863","PDLIM7",1550
"5864","DOK3",1693
"5865","DDX41",2000
"5866","FAM193B",2749
"5867","TMED9",728
"5868","B4GALT7",1009
"5869","FAM153A",1264
"5870","PROP1",691
"5871","N4BP3",1650
"5872","RMND5B",1325
"5873","NHP2",477
"5874","GMCL2",1581
"5875","HNRNPAB",1029
"5876","PHYKPL",1444
"5877","COL23A1",1866
"5878","CLK4",1503
"5879","MSANTD5",657
"5880","ZNF354A",1833
"5881","ZNF354B",1854
"5882","ZFP2",1386
"5883","ZNF454",1584
"5884","GRM6",2679
"5885","ZNF879",1741
"5886","ZNF354C",1680
"5887","ADAMTS2",3919
"5888","RUFY1",2212
"5889","HNRNPH1",1556
"5890","CBY3",734
"5891","CANX",2026
"5892","MAML1",3071
"5893","LTC4S",475
"5894","MGAT4B",1857
"5895","SQSTM1",1441
"5896","MRNIP",1130
"5897","TBC1D9B",3858
"5898","RNF130",1412
"5899","RASGEF1C",1504
"5900","MAPK9",1722
"5901","GFPT2",2139
"5902","CNOT6",1724
"5903","SCGB3A1",325
"5904","FLT4",4273
"5905","OR2Y1",936
"5906","MGAT1",1338
"5907","ZFP62",2708
"5908","BTNL8",1693
"5909","BTNL3",1436
"5910","BTNL9",1794
"5911","OR2V1",1024
"5912","OR2V2",948
"5913","TRIM7",1681
"5914","TRIM41",2015
"5915","RACK1",1028
"5916","TRIM52",1328
"5917","OR4F3",939
"5918","DUSP22",709
"5919","IRF4",1391
"5920","EXOC2",2905
"5921","HUS1B",837
"5922","FOXQ1",1212
"5923","FOXF2",1340
"5924","FOXC1",1662
"5925","GMDS",1184
"5926","MYLK4",1534
"5927","WRNIP1",2028
"5928","SERPINB1",1165
"5929","SERPINB9",1156
"5930","SERPINB6",1254
"5931","NQO2",824
"5932","RIPK1",2061
"5933","BPHL",1010
"5934","TUBB2A",1353
"5935","TUBB2B",1353
"5936","PSMG4",886
"5937","SLC22A23",2137
"5938","PXDC1",716
"5939","FAM50B",978
"5940","PRPF4B",3094
"5941","FAM217A",1969
"5942","ECI2",1230
"5943","CDYL",1859
"5944","RPP40",1127
"5945","PPP1R3G",1077
"5946","LYRM4",568
"5947","FARS2",1381
"5948","NRN1",580
"5949","F13A1",2264
"5950","LY86",509
"5951","RREB1",5274
"5952","SSR1",1062
"5953","CAGE1",2684
"5954","RIOK1",1787
"5955","DSP",8794
"5956","SNRNP48",1060
"5957","BMP6",1572
"5958","TXNDC5",1344
"5959","BLOC1S5",584
"5960","EEF1E1",644
"5961","SLC35B3",1251
"5962","TFAP2A",1416
"5963","GCNT2",3139
"5964","C6orf52",575
"5965","PAK1IP1",1224
"5966","TMEM14C",359
"5967","TMEM14B",686
"5968","MAK",2012
"5969","GCM2",1541
"5970","SYCP2L",2579
"5971","ELOVL2",926
"5972","SMIM13",281
"5973","ERVFRD-1",1617
"5974","NEDD9",2618
"5975","TMEM170B",409
"5976","ADTRP",777
"5977","HIVEP1",8302
"5978","EDN1",659
"5979","PHACTR1",2413
"5980","TBC1D7",916
"5981","GFOD1",1374
"5982","SIRT5",1156
"5983","NOL7",809
"5984","RANBP9",2255
"5985","MCUR1",1120
"5986","RNF182",744
"5987","CD83",638
"5988","JARID2",3826
"5989","DTNBP1",1245
"5990","MYLIP",1368
"5991","GMPR",1078
"5992","ATXN1",2453
"5993","ENSG00000288708",90
"5994","STMND1",851
"5995","RBM24",757
"5996","CAP2",1489
"5997","FAM8A1",1262
"5998","NUP153",4631
"5999","KIF13A",5825
"6000","NHLRC1",1188
"6001","TPMT",773
"6002","KDM1B",2567
"6003","DEK",1326
"6004","RNF144B",942
"6005","ID4",491
"6006","MBOAT1",1548
"6007","E2F3",1449
"6008","CDKAL1",1815
"6009","SOX4",1425
"6010","PRL",707
"6011","HDGFL1",756
"6012","NRSN1",847
"6013","DCDC2",1655
"6014","MRS2",1463
"6015","GPLD1",2643
"6016","ALDH5A1",1697
"6017","KIAA0319",3345
"6018","TDP2",1199
"6019","ACOT13",448
"6020","C6orf62",755
"6021","GMNN",655
"6022","ARMH2",698
"6023","RIPOR2",3565
"6024","ENSG00000282804",188
"6025","CARMIL1",4524
"6026","SCGN",881
"6027","ENSG00000290217",806
"6028","H2AC1",396
"6029","H2BC1",384
"6030","SLC17A4",1625
"6031","SLC17A1",1454
"6032","SLC17A3",1547
"6033","SLC17A2",1524
"6034","TRIM38",1423
"6035","H1-1",648
"6036","H3C1",411
"6037","H4C1",312
"6038","H4C2",312
"6039","H3C2",411
"6040","H2AC4",393
"6041","H2BC3",381
"6042","H3C3",411
"6043","H1-2",642
"6044","HFE",1120
"6045","H4C3",312
"6046","H1-6",624
"6047","H2BC4",381
"6048","H2AC6",393
"6049","H1-4",660
"6050","H2BC5",381
"6051","H2BC6",381
"6052","H4C4",312
"6053","H3C4",411
"6054","ENSG00000282988",518
"6055","H2AC7",393
"6056","H2BC7",381
"6057","H4C5",312
"6058","H2BC8",381
"6059","H2AC8",393
"6060","H3C6",411
"6061","H1-3",666
"6062","H4C6",312
"6063","H4C7",297
"6064","H3C7",411
"6065","H2BC9",381
"6066","H3C8",411
"6067","H2BC10",381
"6068","H4C8",312
"6069","BTN3A2",1054
"6070","BTN2A2",1712
"6071","BTN3A1",1746
"6072","BTN3A3",1795
"6073","BTN2A1",1652
"6074","BTN1A1",1611
"6075","HMGN4",273
"6076","ABT1",829
